case,crop_id,seed,k1_true,noise,method,status,k1_err,k1_signed,pos_rmse,pos_mae,pos_max,seam_true,seam_est,psnr,ssim,ncc,mse,coverage_fraction,distortion_psnr,distortion_ssim,distortion_ncc,distortion_mse,distortion_coverage_fraction,time_s,iterations
c1_s2026_k1_m0.0080_noise_10,1,2026,-0.008,10,dcs_paper_style,ok,0.0027320694186969323,0.0027320694186969323,5.32290647422377,2.9444444444444446,6.0,0.0038655736850761457,0.0016595163729201806,35.08949109927379,0.9839153869520676,0.9796699096953154,1330446.7519460975,0.9955817776969289,54.770956905531776,0.9987692321212274,0.9997807483046507,14316.963474191034,1.0,626.84,25
c1_s2026_k1_p0.0080_noise_00,1,2026,0.008,0,dcs_paper_joint_oracle,ok,0.0,0.0,1.855921454276674,1.0555555555555556,2.0,0.0001299354141287364,0.0017342239305646835,46.896075401233645,0.9953724314980338,0.9986558553924264,87768.57907142684,0.9998749369647763,70.55755544650123,0.9999216985345826,0.9999942153078191,377.7383360280412,1.0,1302.26,25
c1_s2026_k1_p0.0080_noise_00,1,2026,0.008,0,dcs_paper_style,ok,0.003451685610125049,-0.003451685610125049,7.593857166596345,4.277777777777778,9.0,0.004513825899136468,0.002248910857032204,35.58568240397912,0.9821910062081693,0.9817802578796772,1186802.2667500556,0.9997495860974807,53.32404208764408,0.998396303917012,0.9996940531065766,19977.55793361614,1.0,631.38,25
c1_s2026_k1_p0.0080_noise_10,1,2026,0.008,10,dcs_paper_joint_oracle,ok,0.0,0.0,1.7638342073763937,1.0,2.0,0.0001299354141287364,0.001757053109118332,47.32368424999621,0.9956356074414219,0.9987820275355342,79538.64396478348,0.9998749369647763,70.55755544650123,0.9999216985345826,0.9999942153078191,377.7383360280412,1.0,1421.02,25
c1_s2026_k1_p0.0080_noise_10,1,2026,0.008,10,dcs_paper_style,ok,0.0035282015752797855,-0.0035282015752797855,7.187952884282608,3.9444444444444446,8.0,0.004595505486191284,0.00207581659738513,36.08662113275954,0.9831810756875967,0.9837660561388251,1057510.0278157427,1.0,53.157700681124695,0.9983491837835677,0.9996821072780577,20757.57135094415,1.0,675.74,25
c1_s2027_k1_m0.0080_noise_10,1,2027,-0.008,10,dcs_paper_joint_oracle,ok,0.0,0.0,1.8257418583505538,1.0,2.0,0.00014220624365430097,0.00181008212959969,41.1439847413937,0.9944510687454172,0.994950375965336,330025.9830692318,0.9984831249812909,70.11117585148749,0.9999125569355585,0.9999935899061183,418.6287225141959,1.0,1638.22,25
c1_s2027_k1_m0.0080_noise_10,1,2027,-0.008,10,dcs_paper_style,ok,0.0025289784637208155,0.0025289784637208155,5.773502691896258,3.2222222222222223,7.0,0.003618775086296616,0.001781680900448858,34.66293391022587,0.9827564864046748,0.977573383201775,1467753.8103844444,0.9953322272906252,55.354974968929255,0.9988960839602706,0.9998083360271848,12515.526111495927,1.0,708.26,25
c1_s2027_k1_p0.0080_noise_10,1,2027,0.008,10,dcs_paper_joint_oracle,ok,0.0,0.0,1.855921454276674,1.0555555555555556,2.0,0.0001299354141287364,0.0017342239305646835,46.896075401233645,0.9953724314980338,0.9986558553924264,87768.57907142684,0.9998749369647763,70.55755544650123,0.9999216985345826,0.9999942153078191,377.7383360280412,1.0,1594.74,25
c1_s2027_k1_p0.0080_noise_10,1,2027,0.008,10,dcs_paper_style,ok,0.0035339654651101874,-0.0035339654651101874,7.31057073315377,4.055555555555555,8.0,0.004601681429455949,0.002033101388012416,35.93115454892127,0.9828773357857995,0.9831743054832524,1096051.9842673568,0.9998753687128841,53.1452885727856,0.9983456365849668,0.9996811974205742,20816.981212319184,1.0,736.36,25
c2_s2026_k1_m0.0080_noise_00,2,2026,-0.008,0,dcs_paper_joint_oracle,ok,0.0,0.0,1.8257418583505538,1.0,2.0,0.00012915573854504388,0.001486538345222318,45.736810077066394,0.995309167896421,0.9983791223831419,114621.37126987624,0.9984831249812909,70.73893882331396,0.9999228261787214,0.9999948712595461,362.28697892860555,1.0,1553.65,25
c2_s2026_k1_m0.0080_noise_00,2,2026,-0.008,0,dcs_paper_style,ok,0.0027391599381706338,0.0027391599381706338,5.686240703077327,3.1666666666666665,7.0,0.0029703202024349597,0.0013415575741578028,38.85444242593769,0.984696799489945,0.9921000618477507,559116.5722137067,0.9953280537255832,56.02233835078099,0.9989209654609325,0.999848174931233,10732.793472321204,1.0,760.44,25
c2_s2026_k1_m0.0080_noise_10,2,2026,-0.008,10,dcs_paper_joint_oracle,ok,0.0,0.0,1.8257418583505538,1.0,2.0,0.00012915573854504388,0.001486538345222318,45.736810077066394,0.995309167896421,0.9983791223831419,114621.37126987624,0.9984831249812909,70.73893882331396,0.9999228261787214,0.9999948712595461,362.28697892860555,1.0,1638.19,25
c2_s2026_k1_m0.0080_noise_10,2,2026,-0.008,10,dcs_paper_style,ok,0.0027391599381706338,0.0027391599381706338,5.686240703077327,3.1666666666666665,7.0,0.0029703202024349597,0.0013415575741578028,38.85444242593769,0.984696799489945,0.9921000618477507,559116.5722137067,0.9953280537255832,56.02233835078099,0.9989209654609325,0.999848174931233,10732.793472321204,1.0,804.25,25
c2_s2026_k1_p0.0080_noise_00,2,2026,0.008,0,dcs_paper_joint_oracle,ok,0.0,0.0,1.8257418583505538,1.0,2.0,0.00011711716326259128,0.0014931961678964713,48.79129656457116,0.9956806904373423,0.9991973399673009,56730.544386152054,1.0,71.15732668551723,0.9999304716371836,0.9999953432452382,329.01366727418423,1.0,1623.2,25
c2_s2026_k1_p0.0080_noise_00,2,2026,0.008,0,dcs_paper_style,ok,0.0027162794930888105,-0.0027162794930888105,4.760952285695233,2.5555555555555554,6.0,0.0028498917104629942,0.00099601434521406,41.52841884323421,0.988446286051783,0.9957284609047397,302068.00215341867,1.0,56.355449466009176,0.9989873882479554,0.999859533539309,9940.349650773347,1.0,781.15,25
c2_s2026_k1_p0.0080_noise_10,2,2026,0.008,10,dcs_paper_joint_oracle,ok,0.0,0.0,1.855921454276674,1.0555555555555556,2.0,0.00011711716326259128,0.0014380440018364094,48.62157530967543,0.9955777243948045,0.9991653079310724,58991.45073033211,0.9998749369647763,71.15732668551723,0.9999304716371836,0.9999953432452382,329.01366727418423,1.0,1719.26,25
