case,crop_id,seed,k1_true,noise,method,status,k1_err,k1_signed,pos_rmse,pos_mae,pos_max,seam_true,seam_est,psnr,ssim,ncc,mse,coverage_fraction,distortion_psnr,distortion_ssim,distortion_ncc,distortion_mse,distortion_coverage_fraction,time_s,iterations
c2_s2026_k1_p0.0080_noise_00,2,2026,0.008,0,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,0.00011711716326259128,0.00011711716326259128,71.15732668551723,0.9999304716371836,0.9999953432452382,329.01366727418423,1.0,71.15732668551723,0.9999304716371836,0.9999953432452382,329.01366727418423,1.0,253.51,1
c2_s2026_k1_p0.0080_noise_00,2,2026,0.008,0,sequential_paper_matched,ok,0.0057005491553196825,-0.0057005491553196825,9.128709291752768,5.0,10.0,0.005255206660884447,0.001386166023370005,36.84705247975409,0.9794916038304977,0.987462463420048,887649.1868306375,1.0,50.73920579333242,0.997261319783293,0.9994883052695048,36226.47090650084,1.0,358.51,1
c2_s2026_k1_p0.0080_noise_10,2,2026,0.008,10,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,0.00011711716326259128,0.00011711716326259128,71.15732668551723,0.9999304716371836,0.9999953432452382,329.01366727418423,1.0,71.15732668551723,0.9999304716371836,0.9999953432452382,329.01366727418423,1.0,269.2,1
c2_s2026_k1_p0.0080_noise_10,2,2026,0.008,10,sequential_paper_matched,ok,0.005621981972358003,-0.005621981972358003,9.16515138991168,5.0,11.0,0.005189538151886516,0.001481384341998797,36.6447427559952,0.9792216578968035,0.9868632517668611,929977.2657975643,1.0,50.83995484506322,0.9973052909649488,0.9995000285194169,35395.75032623067,1.0,395.61,1
c2_s2027_k1_m0.0080_noise_10,2,2027,-0.008,10,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,0.00012915573854504388,0.00012915573854504388,70.73893882331396,0.9999228261787214,0.9999948712595461,362.28697892860555,1.0,70.73893882331396,0.9999228261787214,0.9999948712595461,362.28697892860555,1.0,288.01,1
c2_s2027_k1_m0.0080_noise_10,2,2027,-0.008,10,sequential_paper_matched,ok,0.005570034875777809,0.005570034875777809,9.38083151964686,5.111111111111111,11.0,0.005328336071346128,0.0016381583936643628,35.31007009700241,0.9744787117802193,0.9821388031926056,1264560.4587353577,0.992178163447169,50.6605644681925,0.9972113741110168,0.9994779851123942,36888.429065575845,1.0,466.1,1
c2_s2027_k1_p0.0080_noise_10,2,2027,0.008,10,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,0.00011711716326259128,0.00011711716326259128,71.15732668551723,0.9999304716371836,0.9999953432452382,329.01366727418423,1.0,71.15732668551723,0.9999304716371836,0.9999953432452382,329.01366727418423,1.0,287.14,1
c2_s2027_k1_p0.0080_noise_10,2,2027,0.008,10,sequential_paper_matched,ok,0.005621981972358003,-0.005621981972358003,9.16515138991168,5.0,11.0,0.005189538151886516,0.001481384341998797,36.6447427559952,0.9792216578968035,0.9868632517668611,929977.2657975643,1.0,50.83995484506322,0.9973052909649488,0.9995000285194169,35395.75032623067,1.0,495.37,1
c3_s2026_k1_m0.0080_noise_00,3,2026,-0.008,0,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,0.00011840179395862905,0.00011840179395862905,70.82369705440824,0.9999372508482451,0.9999949387859801,355.2850245128586,1.0,70.82369705440824,0.9999372508482451,0.9999949387859801,355.2850245128586,1.0,299.14,1
c3_s2026_k1_m0.0080_noise_00,3,2026,-0.008,0,sequential_paper_matched,ok,0.0054534904863912555,0.0054534904863912555,9.809292646374775,5.333333333333333,11.0,0.005471077837063689,0.0018061780391471825,34.10815534421939,0.966187273284824,0.9763068804828381,1667750.475347266,0.9918003838528511,45.97700331615329,0.9941826585837581,0.9984626357415108,108454.17521243986,1.0,544.58,1
c3_s2026_k1_m0.0080_noise_10,3,2026,-0.008,10,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,0.00011840179395862905,0.00011840179395862905,70.82369705440824,0.9999372508482451,0.9999949387859801,355.2850245128586,1.0,70.82369705440824,0.9999372508482451,0.9999949387859801,355.2850245128586,1.0,319.05,1
c3_s2026_k1_m0.0080_noise_10,3,2026,-0.008,10,sequential_paper_matched,ok,0.0054534904863912555,0.0054534904863912555,9.809292646374775,5.333333333333333,11.0,0.005471077837063689,0.0018061780391471825,34.10815534421939,0.966187273284824,0.9763068804828381,1667750.475347266,0.9918003838528511,45.97700331615329,0.9941826585837581,0.9984626357415108,108454.17521243986,1.0,590.81,1
c3_s2026_k1_p0.0080_noise_00,3,2026,0.008,0,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,0.00010803785091558323,0.00010803785091558323,71.24984424361185,0.9999437709236922,0.9999954185777474,322.0788324192746,1.0,71.24984424361185,0.9999437709236922,0.9999954185777474,322.0788324192746,1.0,291.6,1
c3_s2026_k1_p0.0080_noise_00,3,2026,0.008,0,sequential_paper_matched,ok,0.005586500546193799,-0.005586500546193799,9.195409482755814,5.055555555555555,10.0,0.005404830903103534,0.001502344789210065,35.69702256800873,0.9731697315917714,0.9834974445067801,1156762.898298444,1.0,46.08633057652328,0.9943365434189153,0.9984932584321868,105758.07808243683,1.0,573.65,1
c3_s2026_k1_p0.0080_noise_10,3,2026,0.008,10,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,0.00010803785091558323,0.00010803785091558323,71.24984424361185,0.9999437709236922,0.9999954185777474,322.0788324192746,1.0,71.24984424361185,0.9999437709236922,0.9999954185777474,322.0788324192746,1.0,306.85,1
c3_s2026_k1_p0.0080_noise_10,3,2026,0.008,10,sequential_paper_matched,ok,0.005586500546193799,-0.005586500546193799,9.195409482755814,5.055555555555555,10.0,0.005404830903103534,0.001502344789210065,35.69702256800873,0.9731697315917714,0.9834974445067801,1156762.898298444,1.0,46.08633057652328,0.9943365434189153,0.9984932584321868,105758.07808243683,1.0,620.4,1
c3_s2027_k1_m0.0080_noise_10,3,2027,-0.008,10,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,0.00011840179395862905,0.00011840179395862905,70.82369705440824,0.9999372508482451,0.9999949387859801,355.2850245128586,1.0,70.82369705440824,0.9999372508482451,0.9999949387859801,355.2850245128586,1.0,330.17,1
c3_s2027_k1_m0.0080_noise_10,3,2027,-0.008,10,sequential_paper_matched,ok,0.0054534904863912555,0.0054534904863912555,9.809292646374775,5.333333333333333,11.0,0.005471077837063689,0.0018061780391471825,34.10815534421939,0.966187273284824,0.9763068804828381,1667750.475347266,0.9918003838528511,45.97700331615329,0.9941826585837581,0.9984626357415108,108454.17521243986,1.0,696.19,1
c3_s2027_k1_p0.0080_noise_10,3,2027,0.008,10,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,0.00010803785091558323,0.00010803785091558323,71.24984424361185,0.9999437709236922,0.9999954185777474,322.0788324192746,1.0,71.24984424361185,0.9999437709236922,0.9999954185777474,322.0788324192746,1.0,322.19,1
c3_s2027_k1_p0.0080_noise_10,3,2027,0.008,10,sequential_paper_matched,ok,0.005586500546193799,-0.005586500546193799,9.195409482755814,5.055555555555555,10.0,0.005404830903103534,0.001502344789210065,35.69702256800873,0.9731697315917714,0.9834974445067801,1156762.898298444,1.0,46.08633057652328,0.9943365434189153,0.9984932584321868,105758.07808243683,1.0,720.33,1
