comparison,k1_true,k2_true,noise,metric,n,median,ci_low,ci_high
paper-style no-pre - sequential no-pre,0.0,0.0,10,psnr,8,4.1400921322110875,2.8151419058642198,7.22315748593925
paper-style no-pre - sequential no-pre,0.0,0.0,10,ssim,8,0.0036473122848535433,0.0013017035031533952,0.00789102299000527
paper-style no-pre - sequential no-pre,0.0,0.0,10,ncc,8,0.00200699502717816,0.0003979990185291049,0.005488393591232821
paper-style no-pre - sequential no-pre,0.0,0.0,10,mse,8,-120481.78383545557,-299945.13054313895,-28150.948103434202
paper-style no-pre - sequential no-pre,0.0,0.0,10,coverage_fraction,8,0.0003829605716114681,-0.00025026998648342014,0.002027776946262938
paper-style no-pre - sequential no-pre,0.0,0.0,10,distortion_psnr,8,26.340249355324165,12.543990487651477,30.208450959719404
paper-style no-pre - sequential no-pre,0.0,0.0,10,distortion_ssim,8,0.00035778007955833413,9.653099083539729e-05,0.0009377718500506171
paper-style no-pre - sequential no-pre,0.0,0.0,10,distortion_ncc,8,5.941484810173536e-05,1.5055943552888529e-05,0.0001672660547749616
paper-style no-pre - sequential no-pre,0.0,0.0,10,distortion_mse,8,-3909.960005405306,-10921.96089219793,-1064.662374886594
paper-style no-pre - sequential no-pre,0.0,0.0,10,distortion_coverage_fraction,8,0.0,0.0,0.0
paper-style no-pre - sequential no-pre,0.0,0.0,10,time_s,8,696.7,665.47,783.26
paper-style no-pre - sequential no-pre,0.0,0.0,10,iterations,8,24.0,24.0,24.0
paper-style no-pre - sequential no-pre,0.008,0.0,0,k1_err,4,0.003479316433108333,0.003360271152794199,0.0036175693025064463
paper-style no-pre - sequential no-pre,0.008,0.0,0,k1_signed,4,-0.0034898062648480352,-0.0036192458381539196,-0.003360271152794199
paper-style no-pre - sequential no-pre,0.008,0.0,0,pos_rmse,4,7.400557676435104,7.187952884282608,7.702813338860896
paper-style no-pre - sequential no-pre,0.008,0.0,0,pos_mae,4,4.055555555555555,3.9444444444444446,4.333333333333333
paper-style no-pre - sequential no-pre,0.008,0.0,0,pos_max,4,8.5,8.0,9.0
paper-style no-pre - sequential no-pre,0.008,0.0,0,seam_true,4,0.0035142045374158344,0.002435238739938757,0.004417483454895477
paper-style no-pre - sequential no-pre,0.008,0.0,0,seam_est,4,0.0016785110780124543,0.0010392143176897817,0.002145587408536919
paper-style no-pre - sequential no-pre,0.008,0.0,0,psnr,4,-34.39845439637091,-35.42724571940861,-32.95762032130605
